journal_title,issn,e_issn,twitter,ahci,ssci,scie,has_twitter,wos_scie,wos_ssci,wos_ahci,publisher_name,account_created_date
journal of technology transfer,0892-9912,1573-7047,NA,0,1,0,0,NA,Management,NA,SPRINGER,NA
journal of telemedicine and telecare,1357-633X,1758-1109,NA,0,0,1,0,Health Care Sciences & Services,NA,NA,SAGE PUBLICATIONS LTD,NA
journal of terramechanics,0022-4898,1879-1204,NA,0,0,1,0,"Engineering, Environmental",NA,NA,PERGAMON-ELSEVIER SCIENCE LTD,NA
journal of testing and evaluation,0090-3973,1945-7553,NA,0,0,1,0,"Materials Science, Characterization, Testing",NA,NA,AMER SOC TESTING MATERIALS,NA
journal of texture studies,0022-4901,1745-4603,NA,0,0,1,0,Food Science & Technology,NA,NA,WILEY,NA
journal of the academy of consultation-liaison psychiatry,2667-2960,2667-2960,NA,0,1,1,0,Psychology | Psychiatry,Psychiatry,NA,ELSEVIER SCIENCE INC,NA
journal of the academy of consultation-liaison psychiatry,2667-2960,2667-2960,NA,0,1,1,0,Psychology | Psychiatry,Psychiatry,NA,ELSEVIER SCIENCE INC,NA
journal of the academy of marketing science,0092-0703,1552-7824,JAMS_updates,0,1,0,1,NA,Business,NA,SPRINGER,5/17/2009
journal of the academy of nutrition and dietetics,2212-2672,2212-2680,NA,0,0,1,0,Nutrition & Dietetics,NA,NA,ELSEVIER SCIENCE INC,NA
journal of the acm,0004-5411,1557-735X,NA,0,0,1,0,"Computer Science, Hardware & Architecture | Computer Science, Information Systems | Computer Science, Software Engineering | Computer Science, Theory & Methods",NA,NA,ASSOC COMPUTING MACHINERY,NA
journal of the acoustical society of america,0001-4966,1520-8524,NA,0,0,1,0,Acoustics | Audiology & Speech-Language Pathology,NA,NA,ACOUSTICAL SOC AMER AMER INST PHYSICS,NA
journal of the air & waste management association,1096-2247,2162-2906,NA,0,0,1,0,"Engineering, Environmental | Environmental Sciences | Meteorology & Atmospheric Sciences",NA,NA,TAYLOR & FRANCIS INC,NA
journal of the american academy of audiology,1050-0545,2157-3107,NA,0,0,1,0,Audiology & Speech-Language Pathology | Otorhinolaryngology,NA,NA,THIEME MEDICAL PUBL INC,NA
journal of the american academy of child and adolescent psychiatry,0890-8567,1527-5418,JAACAP,0,1,1,1,Pediatrics | Psychiatry,"Psychiatry | Psychology, Development",NA,ELSEVIER SCIENCE INC,9/28/2012
journal of the american academy of child and adolescent psychiatry,0890-8567,1527-5418,JAACAP,0,1,1,1,Pediatrics | Psychiatry,"Psychiatry | Psychology, Development",NA,ELSEVIER SCIENCE INC,9/28/2012
journal of the american academy of dermatology,0190-9622,1097-6787,NA,0,0,1,0,Dermatology,NA,NA,MOSBY-ELSEVIER,NA
journal of the american academy of orthopaedic surgeons,1067-151X,1940-5480,OfficialJAAOS,0,0,1,1,Orthopedics | Surgery,NA,NA,LIPPINCOTT WILLIAMS & WILKINS,5/17/2010
journal of the american academy of psychiatry and the law,1093-6793,1943-3662,NA,0,1,0,0,NA,Law | Psychiatry,NA,AMER ACAD PSYCHIATRY & LAW,NA
journal of the american academy of religion,0002-7189,1477-4585,NA,1,0,0,0,NA,NA,Religion,OXFORD UNIV PRESS INC,NA
journal of the american animal hospital association,0587-2871,1547-3317,NA,0,0,1,0,Veterinary Sciences,NA,NA,AMER ANIMAL HOSPITAL ASSOC,NA
journal of the american association for laboratory animal science,1559-6109,1559-6109,NA,0,0,1,0,Veterinary Sciences | Zoology,NA,NA,AMER ASSOC LABORATORY ANIMAL SCIENCE,NA
journal of the american association of nurse practitioners,2327-6886,2327-6924,NA,0,1,1,0,Health Care Sciences & Services | Nursing,Nursing,NA,LIPPINCOTT WILLIAMS & WILKINS,NA
journal of the american association of nurse practitioners,2327-6886,2327-6924,NA,0,1,1,0,Health Care Sciences & Services | Nursing,Nursing,NA,LIPPINCOTT WILLIAMS & WILKINS,NA
journal of the american board of family medicine,1557-2625,1558-7118,JAmBoardFamMed,0,0,1,1,"Primary Health Care | Medicine, General & Internal",NA,NA,AMER BOARD FAMILY MEDICINE,10/2/2019
journal of the american ceramic society,0002-7820,1551-2916,NA,0,0,1,0,"Materials Science, Ceramics",NA,NA,WILEY,NA
journal of the american chemical society,0002-7863,1520-5126,J_A_C_S,0,0,1,1,"Chemistry, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,12/2/2008
journal of the american college of cardiology,0735-1097,1558-3597,NA,0,0,1,0,Cardiac & Cardiovascular System,NA,NA,ELSEVIER SCIENCE INC,NA
journal of the american college of nutrition,0731-5724,1541-1087,NA,0,0,1,0,Nutrition & Dietetics,NA,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
journal of the american college of radiology,1546-1440,1558-349X,JACRJournal,0,0,1,1,"Radiology, Nuclear Medicine & Medical Imaging",NA,NA,ELSEVIER SCIENCE INC,4/15/2014
journal of the american college of surgeons,1072-7515,1879-1190,acsJACS,0,0,1,1,Surgery,NA,NA,ELSEVIER SCIENCE INC,4/24/2013
journal of the american dental association,0002-8177,1943-4723,NA,0,0,1,0,"Dentistry, Oral Surgery & Medicine",NA,NA,AMER DENTAL ASSOC,NA
journal of the american geriatrics society,0002-8614,1532-5415,AGSJournal,0,1,1,1,Geriatrics & Gerontology,Gerontology,NA,WILEY,NA
journal of the american geriatrics society,0002-8614,1532-5415,AGSJournal,0,1,1,1,Geriatrics & Gerontology,Gerontology,NA,WILEY,NA
journal of the american heart association,2047-9980,2047-9980,JAHA_AHA,0,0,1,1,Cardiac & Cardiovascular System,NA,NA,WILEY,9/26/2012
journal of the american helicopter society,0002-8711,2161-6027,NA,0,0,1,0,"Engineering, Aerospace",NA,NA,AMER HELICOPTER SOC INC,NA
journal of the american institute for conservation,0197-1360,1945-2330,NA,1,0,0,0,NA,NA,"Humanities, Multidisciplinary","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
journal of the american leather chemists association,0002-9726,NA,NA,0,0,1,0,"Chemistry, Applied | Materials Science, Textiles",NA,NA,AMER LEATHER CHEMISTS ASSOC,NA
journal of the american mathematical society,0894-0347,1088-6834,NA,0,0,1,0,Mathematics,NA,NA,AMER MATHEMATICAL SOC,NA
journal of the american medical directors association,1525-8610,1538-9375,JAMDAcom,0,0,1,1,Geriatrics & Gerontology,NA,NA,ELSEVIER SCIENCE INC,11/12/2012
journal of the american medical informatics association,1067-5027,1527-974X,JAMIAEditor_Sue,0,1,1,1,"Computer Science, Information Systems | Computer Science, Interdisciplinary Applications | Health Care Sciences & Services | Medical Informatics",Information Science & Library Science,NA,OXFORD UNIV PRESS,5/21/2018
journal of the american medical informatics association,1067-5027,1527-974X,JAMIAEditor_Sue,0,1,1,1,"Computer Science, Information Systems | Computer Science, Interdisciplinary Applications | Health Care Sciences & Services | Medical Informatics",Information Science & Library Science,NA,OXFORD UNIV PRESS,5/21/2018
journal of the american mosquito control association,8756-971X,1943-6270,NA,0,0,1,0,Entomology,NA,NA,AMER MOSQUITO CONTROL ASSOC,NA
journal of the american musicological society,0003-0139,1547-3848,NA,1,0,0,0,NA,NA,Music,UNIV CALIFORNIA PRESS,NA
journal of the american oil chemists society,0003-021X,1558-9331,NA,0,0,1,0,"Chemistry, Applied | Food Science & Technology",NA,NA,WILEY,NA
journal of the american oriental society,0003-0279,2169-2289,NA,1,0,0,0,NA,NA,Asian Studies,AMER ORIENTAL SOC,NA
journal of the american pharmacists association,1544-3191,1544-3450,JAPhAJournal,0,0,1,1,Pharmacology & Pharmacy,NA,NA,ELSEVIER,8/27/2018
journal of the american philosophical association,2053-4477,2053-4485,NA,1,0,0,0,NA,NA,Philosophy,CAMBRIDGE UNIV PRESS,NA
journal of the american planning association,0194-4363,1939-0130,NA,0,1,0,0,NA,Regional & Urban Planning | Urban Studies,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
journal of the american podiatric medical association,8750-7315,1930-8264,NA,0,0,1,0,Orthopedics,NA,NA,AMER PODIATRIC MED ASSOC,NA
journal of the american pomological society,1527-3741,1527-3741,NA,0,0,1,0,Agronomy | Horticulture,NA,NA,AMER POMOLOGICAL SOC,NA
journal of the american psychiatric nurses association,1078-3903,1532-5725,NA,0,1,1,0,Nursing | Psychiatry,Nursing | Psychiatry,NA,SAGE PUBLICATIONS INC,NA
journal of the american psychiatric nurses association,1078-3903,1532-5725,NA,0,1,1,0,Nursing | Psychiatry,Nursing | Psychiatry,NA,SAGE PUBLICATIONS INC,NA
journal of the american psychoanalytic association,0003-0651,1941-2460,NA,0,1,0,0,NA,"Psychiatry | Psychology, Psychoanalysis",NA,SAGE PUBLICATIONS INC,NA
journal of the american society for horticultural science,0003-1062,2327-9788,NA,0,0,1,0,Horticulture,NA,NA,AMER SOC HORTICULTURAL SCIENCE,NA
journal of the american society for mass spectrometry,1044-0305,1879-1123,J_ASMS,0,0,1,1,"Chemistry, Analytical | Chemistry, Physical | Spectroscopy | Biochemical Research Methods",NA,NA,AMER CHEMICAL SOC,10/8/2020
journal of the american society of agronomy,0095-9650,NA,NA,0,0,1,0,Agronomy,NA,NA,AMER SOC AGRONOMY,NA
journal of the american society of brewing chemists,0361-0470,1943-7854,NA,0,0,1,0,Biotechnology & Applied Microbiology | Food Science & Technology,NA,NA,TAYLOR & FRANCIS LTD,NA
journal of the american society of echocardiography,0894-7317,1097-6795,NA,0,0,1,0,Cardiac & Cardiovascular System,NA,NA,MOSBY-ELSEVIER,NA
journal of the american society of nephrology,1046-6673,1533-3450,JASN_News,0,0,1,1,Urology & Nephrology,NA,NA,AMER SOC NEPHROLOGY,1/21/2015
journal of the american statistical association,0162-1459,1537-274X,NA,0,0,1,0,Statistics & Probability,NA,NA,TAYLOR & FRANCIS INC,NA
journal of the american water resources association,1093-474X,1752-1688,NA,0,0,1,0,"Engineering, Environmental | Geosciences, Multidisciplinary | Water Resources",NA,NA,WILEY,NA
journal of the anatomical society of india,0003-2778,2352-3050,NA,0,0,1,0,Anatomy & Morphology,NA,NA,WOLTERS KLUWER MEDKNOW PUBLICATIONS,NA
journal of the asia pacific economy,1354-7860,1469-9648,NA,0,1,0,0,NA,Economics,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
journal of the association for information science and technology,2330-1635,2330-1643,JASIST,0,1,1,1,"Computer Science, Information Systems",Information Science & Library Science,NA,WILEY,5/24/2012
journal of the association for information science and technology,2330-1635,2330-1643,JASIST,0,1,1,1,"Computer Science, Information Systems",Information Science & Library Science,NA,WILEY,5/24/2012
journal of the association for information systems,1536-9323,1558-3457,NA,0,1,1,0,"Computer Science, Information Systems",Information Science & Library Science,NA,ASSOC INFORMATION SYSTEMS,NA
journal of the association for information systems,1536-9323,1558-3457,NA,0,1,1,0,"Computer Science, Information Systems",Information Science & Library Science,NA,ASSOC INFORMATION SYSTEMS,NA
journal of the association of environmental and resource economists,2333-5955,2333-5963,JaereAere,0,1,0,1,NA,Economics | Environmental Studies,NA,UNIV CHICAGO PRESS,5/28/2020
journal of the astronautical sciences,0021-9142,2195-0571,NA,0,0,1,0,"Engineering, Aerospace",NA,NA,SPRINGER HEIDELBERG,NA
journal of the atmospheric sciences,0022-4928,1520-0469,AMS_atmos,0,0,1,1,Meteorology & Atmospheric Sciences,NA,NA,AMER METEOROLOGICAL SOC,10/2/2020
journal of the audio engineering society,1549-4950,1549-4950,NA,0,0,1,0,"Acoustics | Engineering, Multidisciplinary",NA,NA,AUDIO ENGINEERING SOC,NA
journal of the australian ceramic society,2510-1560,2510-1579,NA,0,0,1,0,"Materials Science, Ceramics",NA,NA,SPRINGER,NA
journal of the australian library and information association,2475-0158,2475-0166,JALIAjournal,0,1,0,1,NA,Information Science & Library Science,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3/6/2015
journal of the australian mathematical society,1446-7887,1446-8107,NA,0,0,1,0,Mathematics,NA,NA,CAMBRIDGE UNIV PRESS,NA
journal of the belgian society of radiology,2514-8281,2514-8281,NA,0,0,1,0,"Radiology, Nuclear Medicine & Medical Imaging",NA,NA,UBIQUITY PRESS LTD,NA
journal of the brazilian chemical society,0103-5053,1678-4790,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,SOC BRASILEIRA QUIMICA,NA
journal of the brazilian society of mechanical sciences and engineering,1678-5878,1806-3691,NA,0,0,1,0,"Engineering, Mechanical",NA,NA,SPRINGER HEIDELBERG,NA
journal of the british archaeological association,0068-1288,1747-6704,NA,1,0,0,0,NA,NA,Medieval & Renaissance Studies | Archaeology,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
journal of the british society for phenomenology,0007-1773,2332-0486,NA,1,0,0,0,NA,NA,Philosophy,JACKSON PUBLISHING & DISTRIBUTION,NA
journal of the canadian dental association,1488-2159,0709-8936,JCDATweets,0,0,1,1,"Dentistry, Oral Surgery & Medicine",NA,NA,CANADIAN DENTAL ASSOC,6/14/2010
journal of the ceramic society of japan,1882-0743,1348-6535,NA,0,0,1,0,"Materials Science, Ceramics",NA,NA,CERAMIC SOC JAPAN-NIPPON SERAMIKKUSU KYOKAI,NA
journal of the chemical society of pakistan,0253-5106,0253-5106,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,CHEM SOC PAKISTAN,NA
journal of the chilean chemical society,0717-9707,0717-9707,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,SOC CHILENA QUIMICA,NA
journal of the chinese chemical society,0009-4536,2192-6549,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,WILEY-V C H VERLAG GMBH,NA
journal of the chinese institute of engineers,0253-3839,2158-7299,NA,0,0,1,0,"Engineering, Multidisciplinary",NA,NA,TAYLOR & FRANCIS LTD,NA
journal of the chinese medical association,1726-4901,1728-7731,NA,0,0,1,0,"Medicine, General & Internal",NA,NA,LIPPINCOTT WILLIAMS & WILKINS,NA
journal of the chinese society of mechanical engineers,0257-9731,NA,NA,0,0,1,0,"Engineering, Mechanical",NA,NA,CHINESE SOC MECHANICAL ENGINEERS,NA
journal of the civil war era,2154-4727,2159-9807,NA,0,1,0,0,NA,History,NA,UNIV NORTH CAROLINA PRESS,NA
journal of the copyright society of the usa,0886-3520,NA,NA,0,1,0,0,NA,Law,NA,COPYRIGHT SOC USA,NA
journal of the early republic,0275-1275,1553-0620,TheJERPano,1,0,0,1,NA,NA,History,UNIV PENNSYLVANIA PRESS,1/20/2017
journal of the economic and social history of the orient,0022-4995,1568-5209,NA,1,1,0,0,NA,History,History,BRILL,NA
journal of the economic and social history of the orient,0022-4995,1568-5209,NA,1,1,0,0,NA,History,History,BRILL,NA
journal of the economics of ageing,2212-828X,2212-8298,NA,0,1,0,0,NA,Demography | Economics | Gerontology,NA,ELSEVIER,NA
journal of the electrochemical society,0013-4651,1945-7111,NA,0,0,1,0,"Electrochemistry | Materials Science, Coatings & Films",NA,NA,ELECTROCHEMICAL SOC INC,NA
journal of the energy institute,1743-9671,1746-0220,NA,0,0,1,0,Energy & Fuels,NA,NA,ELSEVIER SCI LTD,NA
journal of the entomological research society,1302-0250,NA,NA,0,0,1,0,Entomology,NA,NA,GAZI ENTOMOLOGICAL RESEARCH SOC,NA
journal of the european academy of dermatology and venereology,0926-9959,1468-3083,TheJEADV,0,0,1,1,Dermatology,NA,NA,WILEY,9/26/2019
journal of the european ceramic society,0955-2219,1873-619X,NA,0,0,1,0,"Materials Science, Ceramics",NA,NA,ELSEVIER SCI LTD,NA
journal of the european economic association,1542-4766,1542-4774,JEEA_News,0,1,0,1,NA,Economics,NA,OXFORD UNIV PRESS,10/12/2018
journal of the european mathematical society,1435-9855,1435-9863,NA,0,0,1,0,"Mathematics, Applied | Mathematics",NA,NA,EUROPEAN MATHEMATICAL SOC-EMS,NA
journal of the european optical society-rapid publications,1990-2573,1990-2573,NA,0,0,1,0,Optics,NA,NA,SPRINGER,NA
journal of the experimental analysis of behavior,0022-5002,1938-3711,NA,0,1,1,0,Behavioral Sciences,"Psychology, Biological | Psychology, Experimental",NA,WILEY,NA
journal of the experimental analysis of behavior,0022-5002,1938-3711,NA,0,1,1,0,Behavioral Sciences,"Psychology, Biological | Psychology, Experimental",NA,WILEY,NA
journal of the faculty of agriculture kyushu university,0023-6152,NA,NA,0,0,1,0,"Agriculture, Multidisciplinary",NA,NA,"KYUSHU UNIV, FACULTY AGRICULTURAL PUBLICATIONS",NA
journal of the faculty of engineering and architecture of gazi university,1300-1884,1304-4915,NA,0,0,1,0,"Engineering, Multidisciplinary",NA,NA,"GAZI UNIV, FAC ENGINEERING ARCHITECTURE",NA
journal of the formosan medical association,0929-6646,1876-0821,NA,0,0,1,0,"Medicine, General & Internal",NA,NA,ELSEVIER TAIWAN,NA
journal of the franklin institute-engineering and applied mathematics,0016-0032,1879-2693,NA,0,0,1,0,"Automation & Control Systems | Engineering, Multidisciplinary | Engineering, Electrical & Electronic | Mathematics, Interdisciplinary Applications",NA,NA,PERGAMON-ELSEVIER SCIENCE LTD,NA
journal of the geological society,0016-7649,2041-479X,NA,0,0,1,0,"Geosciences, Multidisciplinary",NA,NA,GEOLOGICAL SOC PUBL HOUSE,NA
journal of the geological society of india,0016-7622,0974-6889,NA,0,0,1,0,"Geosciences, Multidisciplinary",NA,NA,SPRINGER INDIA,NA
journal of the gilded age and progressive era,1537-7814,1943-3557,journalgape,1,1,0,1,NA,History,History,CAMBRIDGE UNIV PRESS,4/23/2015
journal of the gilded age and progressive era,1537-7814,1943-3557,journalgape,1,1,0,1,NA,History,History,CAMBRIDGE UNIV PRESS,4/23/2015
journal of the hellenic veterinary medical society,1792-2720,1792-2720,NA,0,0,1,0,Veterinary Sciences,NA,NA,HELLENIC VETERINARY MEDICAL SOC,NA
journal of the history of biology,0022-5010,1573-0387,JHistoryBiology,1,1,1,1,History & Philosophy Of Science | Biology,History & Philosophy Of Science,History & Philosophy Of Science,SPRINGER,9/6/2017
journal of the history of biology,0022-5010,1573-0387,JHistoryBiology,1,1,1,1,History & Philosophy Of Science | Biology,History & Philosophy Of Science,History & Philosophy Of Science,SPRINGER,9/6/2017
journal of the history of biology,0022-5010,1573-0387,JHistoryBiology,1,1,1,1,History & Philosophy Of Science | Biology,History & Philosophy Of Science,History & Philosophy Of Science,SPRINGER,9/6/2017
journal of the history of collections,0954-6650,1477-8564,NA,1,0,0,0,NA,NA,"Humanities, Multidisciplinary",OXFORD UNIV PRESS,NA
journal of the history of economic thought,1053-8372,1469-9656,jhet_journal,1,1,0,1,NA,History | History Of Social Sciences,History,CAMBRIDGE UNIV PRESS,1/7/2019
journal of the history of economic thought,1053-8372,1469-9656,jhet_journal,1,1,0,1,NA,History | History Of Social Sciences,History,CAMBRIDGE UNIV PRESS,1/7/2019
journal of the history of ideas,0022-5037,1086-3222,NA,1,0,0,0,NA,NA,Philosophy,UNIV PENNSYLVANIA PRESS,NA
journal of the history of medicine and allied sciences,0022-5045,1468-4373,JournalHMAS,1,1,1,1,History & Philosophy Of Science | Health Care Sciences & Services,History & Philosophy Of Science,History & Philosophy Of Science,OXFORD UNIV PRESS INC,NA
journal of the history of medicine and allied sciences,0022-5045,1468-4373,JournalHMAS,1,1,1,1,History & Philosophy Of Science | Health Care Sciences & Services,History & Philosophy Of Science,History & Philosophy Of Science,OXFORD UNIV PRESS INC,NA
journal of the history of medicine and allied sciences,0022-5045,1468-4373,JournalHMAS,1,1,1,1,History & Philosophy Of Science | Health Care Sciences & Services,History & Philosophy Of Science,History & Philosophy Of Science,OXFORD UNIV PRESS INC,NA
journal of the history of philosophy,0022-5053,1538-4586,NA,1,0,0,1,NA,NA,Philosophy,JOHNS HOPKINS UNIV PRESS,10/30/2020
journal of the history of sexuality,1043-4070,1535-3605,JHistSex,1,1,0,1,NA,History | Sociology,History,UNIV TEXAS PRESS,8/5/2021
journal of the history of sexuality,1043-4070,1535-3605,JHistSex,1,1,0,1,NA,History | Sociology,History,UNIV TEXAS PRESS,8/5/2021
journal of the history of the behavioral sciences,0022-5061,1520-6696,NA,0,1,0,0,NA,History Of Social Sciences,NA,WILEY,NA
journal of the history of the neurosciences,0964-704X,1744-5213,ISHNISHN1,0,0,1,1,History & Philosophy Of Science | Neurosciences,NA,NA,TAYLOR & FRANCIS INC,11/3/2021
journal of the indian chemical society,0019-4522,NA,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,SCIENTIFIC PUBL-INDIA,NA
journal of the indian institute of science,0970-4140,0019-4964,NA,0,0,1,0,Multidisciplinary Sciences,NA,NA,SPRINGER,NA
journal of the indian society of remote sensing,0255-660X,0974-3006,NA,0,0,1,0,Environmental Sciences | Remote Sensing,NA,NA,SPRINGER,NA
journal of the institute of brewing,0046-9750,2050-0416,NA,0,0,1,0,Food Science & Technology,NA,NA,INST BREWING,NA
journal of the institute of mathematics of jussieu,1474-7480,1475-3030,NA,0,0,1,0,Mathematics,NA,NA,CAMBRIDGE UNIV PRESS,NA
journal of the international aids society,1758-2652,1758-2652,jiasociety,0,0,1,1,Immunology | Infectious Diseases,NA,NA,JOHN WILEY & SONS LTD,11/22/2012
journal of the international neuropsychological society,1355-6177,1469-7661,NA,0,0,1,0,Clinical Neurology | Neurosciences | Psychiatry | Psychology,NA,NA,CAMBRIDGE UNIV PRESS,NA
journal of the international phonetic association,0025-1003,1475-3502,NA,1,1,0,0,NA,Linguistics,Language & Linguistics,CAMBRIDGE UNIV PRESS,NA
journal of the international phonetic association,0025-1003,1475-3502,NA,1,1,0,0,NA,Linguistics,Language & Linguistics,CAMBRIDGE UNIV PRESS,NA
journal of the international society of sports nutrition,1550-2783,1550-2783,NA,0,0,1,0,Nutrition & Dietetics | Sport Sciences,NA,NA,BMC,NA
journal of the iranian chemical society,1735-207X,1735-2428,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,SPRINGER,NA
journal of the japan institute of metals and materials,0021-4876,1880-6880,NA,0,0,1,0,Metallurgy & Metallurgical Engineering,NA,NA,JAPAN INST METALS & MATERIALS,NA
journal of the japan petroleum institute,1346-8804,1349-273X,NA,0,0,1,0,"Energy & Fuels | Engineering, Petroleum",NA,NA,JAPAN PETROLEUM INST,NA
journal of the japanese and international economies,0889-1583,1095-8681,NA,0,1,0,0,NA,Economics | International Relations,NA,ACADEMIC PRESS INC ELSEVIER SCIENCE,NA
journal of the japanese society for food science and technology-nippon shokuhin kagaku kogaku kaishi,1341-027X,1881-6681,NA,0,0,1,0,Food Science & Technology,NA,NA,JAPAN SOC FOOD SCIENCE TECHNOLOGY,NA
journal of the kansas entomological society,0022-8567,1937-2353,NA,0,0,1,0,Entomology,NA,NA,KANSAS ENTOMOLOGICAL SOC,NA
journal of the knowledge economy,1868-7865,1868-7873,NA,0,1,0,0,NA,Economics,NA,SPRINGER,NA
journal of the korean astronomical society,1225-4614,1225-4614,AstroJKAS,0,0,1,1,Astronomy & Astrophysics,NA,NA,KOREAN ASTRONOMICAL SOCIETY,10/12/2017
journal of the korean ceramic society,1229-7801,2234-0491,NA,0,0,1,0,"Materials Science, Ceramics",NA,NA,SPRINGER HEIDELBERG,NA
journal of the korean mathematical society,0304-9914,2234-3008,NA,0,0,1,0,"Mathematics, Applied | Mathematics",NA,NA,KOREAN MATHEMATICAL SOC,NA
journal of the korean physical society,0374-4884,1976-8524,NA,0,0,1,0,"Physics, Multidisciplinary",NA,NA,KOREAN PHYSICAL SOC,NA
journal of the korean statistical society,1226-3192,2005-2863,NA,0,0,1,0,Statistics & Probability,NA,NA,SPRINGER HEIDELBERG,NA
journal of the learning sciences,1050-8406,1532-7809,JLearnSciences,0,1,0,1,NA,"Education & Educational Research | Psychology, Educational",NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",9/23/2015
journal of the lepidopterists society,0024-0966,NA,NA,0,0,1,0,Entomology,NA,NA,LEPIDOPTERISTS SOC,NA
journal of the london mathematical society-second series,0024-6107,1469-7750,NA,0,0,1,0,Mathematics,NA,NA,WILEY,NA
journal of the marine biological association of the united kingdom,0025-3154,1469-7769,NA,0,0,1,0,Marine & Freshwater Biology,NA,NA,CAMBRIDGE UNIV PRESS,NA
journal of the mathematical society of japan,0025-5645,NA,NA,0,0,1,0,Mathematics,NA,NA,MATH SOC JAPAN,NA
journal of the mechanical behavior of biomedical materials,1751-6161,1878-0180,NA,0,0,1,0,"Engineering, Biomedical | Materials Science, Biomaterials",NA,NA,ELSEVIER,NA
journal of the mechanics and physics of solids,0022-5096,1873-4782,NA,0,0,1,0,"Materials Science, Multidisciplinary | Mechanics | Physics, Condensed Matter",NA,NA,PERGAMON-ELSEVIER SCIENCE LTD,NA
journal of the medical library association,1536-5050,1558-9439,JrnlMedLibAssn,0,1,0,1,NA,Information Science & Library Science,NA,MEDICAL LIBRARY ASSOC,1/7/2014
journal of the meteorological society of japan,0026-1165,2186-9057,JMSJ_metsoc,0,0,1,1,Meteorology & Atmospheric Sciences,NA,NA,METEOROLOGICAL SOC JAPAN,1/30/2015
journal of the mexican chemical society,1870-249X,1665-9686,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,SOC QUIMICA MEXICO,NA
journal of the midwest modern language association,0742-5562,2162-6294,NA,1,0,0,0,NA,NA,Literature,MIDWEST MODERN LANGUAGE ASSOC,NA
journal of the musical arts in africa,1812-1004,2070-626X,NA,1,0,0,0,NA,NA,Music,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
journal of the national comprehensive cancer network,1540-1405,1540-1413,JNCCN,0,0,1,1,Oncology,NA,NA,HARBORSIDE PRESS,5/3/2011
journal of the national medical association,0027-9684,1943-4693,NA,0,0,1,0,"Medicine, General & Internal",NA,NA,NATL MED ASSOC,NA
journal of the national science foundation of sri lanka,1391-4588,2362-0161,NA,0,0,1,0,Multidisciplinary Sciences,NA,NA,NATL SCIENCE FOUNDATION SRI LANKA,NA
journal of the neurological sciences,0022-510X,1878-5883,NA,0,0,1,0,Clinical Neurology | Neurosciences,NA,NA,ELSEVIER,NA
journal of the operational research society,0160-5682,1476-9360,NA,0,1,1,0,Operations Research & Management Science,Management,NA,TAYLOR & FRANCIS LTD,NA
journal of the operational research society,0160-5682,1476-9360,NA,0,1,1,0,Operations Research & Management Science,Management,NA,TAYLOR & FRANCIS LTD,NA
journal of the optical society of america a-optics image science and vision,1084-7529,1520-8532,NA,0,0,1,0,Optics,NA,NA,OPTICAL SOC AMER,NA
journal of the optical society of america b-optical physics,0740-3224,1520-8540,NA,0,0,1,0,Optics,NA,NA,OPTICAL SOC AMER,NA
journal of the pakistan medical association,0030-9982,0030-9982,NA,0,0,1,0,"Medicine, General & Internal | Medicine, Research & Experimental",NA,NA,PAKISTAN MEDICAL ASSOC,NA
journal of the palaeontological society of india,0552-9360,NA,NA,0,0,1,0,Paleontology,NA,NA,PALAEONTOLOGICAL SOC INDIA,NA
journal of the pediatric infectious diseases society,2048-7193,2048-7207,NA,0,0,1,0,Infectious Diseases | Pediatrics,NA,NA,OXFORD UNIV PRESS,NA
journal of the peripheral nervous system,1085-9489,1529-8027,NA,0,0,1,0,Clinical Neurology | Neurosciences,NA,NA,WILEY,NA
journal of the philosophy of history,1872-261X,1872-2636,J_Phil_Hist,1,0,0,1,NA,NA,History | Philosophy,BRILL,5/4/2018
journal of the philosophy of sport,0094-8705,1543-2939,NA,0,1,0,0,NA,"Ethics | Hospitality, Leisure, Sport & Tourism",NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
journal of the physical society of japan,0031-9015,1347-4073,JPSJ_official,0,0,1,1,"Physics, Multidisciplinary",NA,NA,PHYSICAL SOC JAPAN,11/16/2021
journal of the polynesian society,0032-4000,2230-5955,NA,0,1,0,0,NA,Anthropology,NA,POLYNESIAN SOC INC,NA
